time, battery, grassMean,
36845,0.145999,0.649584,
36846,0.141999,0.64956,
36847,0.137999,0.649536,
36848,0.133999,0.649511,
36849,0.129999,0.649486,
36850,0.125999,0.649609,
36851,0.121999,0.649732,
36852,0.117999,0.649711,
36853,0.113999,0.649819,
36854,0.109999,0.649958,
36855,0.105999,0.650108,
36856,0.101999,0.650266,
36857,0.0979989,0.650427,
36858,0.0939989,0.650587,
36859,0.0899989,0.650748,
36860,0.0859989,0.650909,
36861,0.0819989,0.65107,
36862,0.0779989,0.65123,
36863,0.107999,0.651394,
36864,0.137999,0.651557,
36865,0.167999,0.651721,
36866,0.197999,0.651886,
36867,0.227999,0.652049,
36868,0.257999,0.652213,
36869,0.287999,0.652375,
36870,0.317999,0.652537,
36871,0.347999,0.652699,
36872,0.377999,0.652861,
36873,0.407999,0.653022,
36874,0.437999,0.653184,
36875,0.467999,0.653345,
36876,0.497999,0.653505,
36877,0.527999,0.653665,
36878,0.557999,0.653825,
36879,0.587999,0.653984,
36880,0.617999,0.654144,
36881,0.647999,0.654304,
36882,0.677999,0.654464,
36883,0.707999,0.654623,
36884,0.737999,0.654783,
36885,0.767999,0.654796,
36886,0.797999,0.654808,
36887,0.827999,0.654822,
36888,0.857999,0.654835,
36889,0.887999,0.654847,
36890,0.917999,0.655002,
36891,0.947999,0.655157,
36892,0.977998,0.655312,
36893,1,0.655466,
36894,1,0.655621,
36895,0.996,0.655773,
36896,0.992,0.655925,
36897,0.988,0.656077,
36898,0.984,0.656227,
36899,0.98,0.656377,
36900,0.976,0.656526,
36901,0.972,0.656676,
36902,0.968,0.656824,
36903,0.964,0.656974,
36904,0.96,0.657123,
36905,0.956,0.657272,
36906,0.952,0.657422,
36907,0.948,0.65757,
36908,0.944,0.657719,
36909,0.94,0.657869,
36910,0.936,0.658017,
36911,0.932,0.658168,
36912,0.928,0.65832,
36913,0.924,0.65847,
36914,0.92,0.658621,
36915,0.916,0.658773,
36916,0.912,0.658924,
36917,0.908,0.659074,
36918,0.904,0.659225,
36919,0.9,0.659376,
36920,0.896,0.659526,
36921,0.892,0.659678,
36922,0.888,0.659828,
36923,0.884,0.659978,
36924,0.88,0.660129,
36925,0.876,0.660277,
36926,0.872,0.660426,
36927,0.868,0.660575,
36928,0.864,0.660723,
36929,0.86,0.660872,
36930,0.856,0.661021,
36931,0.852,0.660979,
36932,0.848,0.660938,
36933,0.838,0.660989,
36934,0.834,0.661137,
36935,0.824,0.661286,
36936,0.814,0.661435,
36937,0.804,0.661583,
36938,0.794,0.661731,
36939,0.784,0.66188,
36940,0.774,0.662028,
36941,0.764,0.662176,
36942,0.754,0.662324,
36943,0.744,0.662472,
36944,0.734,0.66262,
36945,0.724,0.662767,
36946,0.714,0.662915,
36947,0.704,0.663063,
36948,0.694,0.663211,
36949,0.684,0.663358,
36950,0.674,0.663505,
36951,0.664,0.663652,
36952,0.654,0.663304,
36953,0.65,0.663451,
36954,0.64,0.662964,
36955,0.636,0.663113,
36956,0.626,0.662627,
36957,0.622,0.662775,
36958,0.612,0.66232,
36959,0.608,0.662468,
36960,0.598,0.661983,
36961,0.594,0.661941,
36962,0.59,0.661899,
36963,0.586,0.661856,
36964,0.582,0.661994,
36965,0.578,0.661951,
36966,0.574,0.661909,
36967,0.57,0.662012,
36968,0.566,0.661834,
36969,0.562,0.661783,
36970,0.558,0.661733,
36971,0.554,0.661682,
36972,0.55,0.66163,
36973,0.546,0.661581,
36974,0.542,0.661529,
36975,0.538,0.661478,
36976,0.534,0.661428,
36977,0.53,0.661376,
36978,0.526,0.661323,
36979,0.522,0.661273,
36980,0.518,0.66122,
36981,0.514,0.661168,
36982,0.51,0.661117,
36983,0.506,0.661065,
36984,0.502,0.661013,
36985,0.498,0.660962,
36986,0.494,0.66091,
36987,0.49,0.660857,
36988,0.486,0.660933,
36989,0.482,0.66088,
36990,0.478,0.660878,
36991,0.474,0.660877,
36992,0.47,0.661005,
36993,0.466,0.661003,
36994,0.462,0.661002,
36995,0.458,0.660998,
36996,0.454,0.660993,
36997,0.45,0.66099,
36998,0.446,0.660985,
36999,0.442,0.66098,
37000,0.438,0.660975,
37001,0.434,0.660971,
37002,0.43,0.660965,
37003,0.426,0.660961,
37004,0.422,0.660956,
37005,0.418,0.661129,
37006,0.413999,0.661277,
37007,0.409999,0.661454,
37008,0.405999,0.66145,
37009,0.401999,0.661444,
37010,0.397999,0.661439,
37011,0.393999,0.661434,
37012,0.389999,0.661539,
37013,0.385999,0.661534,
37014,0.381999,0.661529,
37015,0.377999,0.661598,
37016,0.373999,0.661592,
37017,0.369999,0.661626,
37018,0.365999,0.661618,
37019,0.361999,0.661612,
37020,0.357999,0.661604,
