sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;vx;vy;vz;rollRate;pitchRate;yawRate;
1653318756;521009;1653318756;521102;1653318756;520978;0.325;0.01531401;0;0;0;0.1534449;
1653318756;548818;1653318756;548905;1653318756;548786;0.325;0.01531401;0;0;0;0.1534449;
1653318756;574335;1653318756;574422;1653318756;574314;0.325;0.01531401;0;0;0;0.1534449;
1653318756;599802;1653318756;599884;1653318756;599755;0.325;0.01531401;0;0;0;0.1534449;
1653318756;625257;1653318756;625337;1653318756;625230;0.325;0.01531401;0;0;0;0.1534449;
1653318756;650693;1653318756;650789;1653318756;650672;0.325;0.01531401;0;0;0;0.1534449;
1653318756;676236;1653318756;676301;1653318756;676216;0.325;0.01531401;0;0;0;0.1534449;
1653318756;701711;1653318756;701802;1653318756;701668;0.325;0.01173442;0;0;0;0.1056359;
1653318756;727653;1653318756;727749;1653318756;727632;0.325;0.009875508;0;0;0;0.08696897;
1653318756;753127;1653318756;753199;1653318756;753106;0.325;0.008879708;0;0;0;0.07985085;
1653318756;778834;1653318756;778899;1653318756;778813;0.325;0.008332027;0;0;0;0.07724251;
1653318756;804258;1653318756;804322;1653318756;804240;0.325;0.008024349;0;0;0;0.0763542;
1653318756;829677;1653318756;829738;1653318756;829659;0.325;0.00784865;0;0;0;0.07609641;
1653318756;855694;1653318756;855782;1653318756;855671;0.325;0.007747083;0;0;0;0.0760535;
1653318756;881109;1653318756;881176;1653318756;881091;0.325;0.007687847;0;0;0;0.07607306;
1653318756;906464;1653318756;906529;1653318756;906446;0.325;0.007653078;0;0;0;0.07610311;
1653318756;931945;1653318756;932013;1653318756;931927;0.325;0.007632578;0;0;0;0.07612851;
1653318756;957908;1653318756;957975;1653318756;957890;0.325;0.007620453;0;0;0;0.0761467;
1653318756;983360;1653318756;983441;1653318756;983335;0.325;0.007613267;0;0;0;0.07615878;
1653318757;8881;1653318757;8962;1653318757;8858;0.325;0.007609001;0;0;0;0.07616649;
1653318757;34276;1653318757;34339;1653318757;34258;0.325;0.007606466;0;0;0;0.07617129;
1653318757;59665;1653318757;59731;1653318757;59648;0.325;0.007604958;0;0;0;0.07617423;
1653318757;85035;1653318757;85096;1653318757;85016;0.325;0.007604061;0;0;0;0.07617601;
1653318757;110498;1653318757;110572;1653318757;110477;0.325;0.007603527;0;0;0;0.07617709;
1653318757;135992;1653318757;136065;1653318757;135972;0.325;0.007603209;0;0;0;0.07617774;
1653318757;161466;1653318757;161533;1653318757;161448;0.325;0.00760302;0;0;0;0.07617813;
1653318757;187060;1653318757;187139;1653318757;187037;0.325;0.007602908;0;0;0;0.07617836;
1653318757;212494;1653318757;212557;1653318757;212471;0.325;0.007602841;0;0;0;0.0761785;
1653318757;240437;1653318757;240503;1653318757;240420;0.325;0.007602801;0;0;0;0.07617858;
1653318757;265834;1653318757;265894;1653318757;265815;0.325;0.007602777;0;0;0;0.07617863;
1653318757;291635;1653318757;291698;1653318757;291615;0.325;0.007602762;0;0;0;0.07617866;
1653318757;317176;1653318757;317241;1653318757;317159;0.325;0.007602754;0;0;0;0.07617868;
1653318757;342580;1653318757;342661;1653318757;342556;0.325;0.007602749;0;0;0;0.07617868;
1653318757;368791;1653318757;368875;1653318757;368774;0.325;0.007602746;0;0;0;0.07617869;
1653318757;396446;1653318757;396521;1653318757;396427;0.325;0.007602744;0;0;0;0.0761787;
1653318757;421820;1653318757;421900;1653318757;421798;0.325;0.007602743;0;0;0;0.0761787;
1653318757;447767;1653318757;447840;1653318757;447743;0.325;0.007602742;0;0;0;0.0761787;
1653318757;473188;1653318757;473252;1653318757;473169;0.325;0.007602742;0;0;0;0.0761787;
1653318757;498600;1653318757;498677;1653318757;498581;0.325;0.007602742;0;0;0;0.0761787;
1653318757;524122;1653318757;524189;1653318757;524103;0.325;0.007602742;0;0;0;0.0761787;
1653318757;549874;1653318757;549936;1653318757;549856;0.325;0.007602742;0;0;0;0.0761787;
1653318757;575280;1653318757;575354;1653318757;575260;0.325;0.007602742;0;0;0;0.0761787;
1653318757;601309;1653318757;601374;1653318757;601290;0.325;0.007602742;0;0;0;0.0761787;
1653318757;626904;1653318757;626967;1653318757;626882;0.325;0.007602741;0;0;0;0.0761787;
1653318757;652467;1653318757;652547;1653318757;652444;0.325;0.007602741;0;0;0;0.0761787;
1653318757;678439;1653318757;678538;1653318757;678419;0.325;0.007602741;0;0;0;0.0761787;
1653318757;704101;1653318757;704168;1653318757;704079;0.325;0.002830919;0;0;0;0.01244624;
1653318757;730399;1653318757;730457;1653318757;730380;0.325;0.0003528683;0;0;0;-0.0124379;
1653318757;755799;1653318757;755865;1653318757;755779;0.325;-0.0009745971;0;0;0;-0.0219268;
1653318757;781151;1653318757;781221;1653318757;781132;0.325;-0.001704691;0;0;0;-0.0254039;
1653318757;806659;1653318757;806726;1653318757;806640;0.325;-0.002114845;0;0;0;-0.02658807;
1653318757;832287;1653318757;832354;1653318757;832137;0.325;-0.002349064;0;0;0;-0.02693172;
1653318757;857908;1653318757;857974;1653318757;857889;0.325;-0.002484458;0;0;0;-0.02698892;
1653318757;883524;1653318757;883634;1653318757;883475;0.325;-0.002563424;0;0;0;-0.02696284;
1653318757;910036;1653318757;910115;1653318757;910012;0.325;-0.002609774;0;0;0;-0.02692278;
1653318757;936603;1653318757;936666;1653318757;935561;0.325;-0.002637101;0;0;0;-0.02688892;
1653318757;960960;1653318757;961027;1653318757;960941;0.325;-0.002653264;0;0;0;-0.02686467;
1653318757;986611;1653318757;986698;1653318757;986584;0.325;-0.002662844;0;0;0;-0.02684857;
1653318758;12088;1653318758;12150;1653318758;12070;0.325;-0.002668531;0;0;0;-0.0268383;
